Time,Movement,Light,Temperature,Humidity,Sound
02:43:10,0,44,21.50,37.00,1
02:43:11,0,41,21.50,37.00,1
02:43:12,0,44,21.50,37.00,1
02:43:13,0,41,21.50,37.00,1
02:43:14,0,44,21.50,37.00,1
02:43:15,0,41,21.50,37.00,1
02:43:16,0,44,21.50,37.00,1
02:43:17,0,40,21.50,37.00,1
02:43:18,0,44,21.50,37.00,1
02:43:19,0,40,21.50,37.00,1
02:43:21,0,44,21.50,37.00,1
02:43:22,0,40,21.50,37.00,1
02:43:23,0,44,21.50,37.00,1
02:43:24,0,40,21.50,37.00,1
02:43:25,0,44,21.50,37.00,1
02:43:26,0,40,21.50,37.00,1
02:43:27,0,44,21.50,37.00,1
02:43:28,0,40,21.50,37.00,1
02:43:29,0,44,21.50,37.00,1
02:43:30,0,40,21.50,37.00,1
02:43:31,0,44,21.50,37.00,1
02:43:32,0,40,21.50,37.00,1
02:43:33,0,44,21.50,37.00,1
02:43:34,0,40,21.50,37.00,1
02:43:35,0,44,21.50,37.00,1
02:43:36,0,40,21.50,37.00,1
02:43:37,0,44,21.50,37.00,1
02:43:38,0,40,21.50,37.00,1
02:43:39,0,44,21.50,37.00,1
02:43:40,0,40,21.50,37.00,1
02:43:41,0,45,21.50,37.00,1
02:43:42,0,40,21.50,37.00,1
02:43:43,0,44,21.50,37.00,1
02:43:44,0,40,21.50,37.00,1
02:43:45,0,45,21.50,37.00,1
02:43:46,0,40,21.50,37.00,1
02:43:47,0,44,21.50,37.00,1
02:43:48,0,40,21.50,37.00,1
02:43:49,0,44,21.50,37.00,1
02:43:50,0,41,21.50,37.00,1
02:43:51,0,44,21.50,37.00,1
02:43:52,0,40,21.50,37.00,1
02:43:53,0,44,21.50,37.00,1
02:43:54,0,40,21.50,37.00,1
02:43:55,0,44,21.50,37.00,1
02:43:56,0,40,21.50,37.00,1
02:43:57,0,44,21.50,37.00,1
02:43:58,0,40,21.50,37.00,1
02:43:59,0,44,21.50,37.00,1
02:44:00,0,40,21.50,37.00,1
02:44:01,0,44,21.50,37.00,1
02:44:02,0,40,21.50,37.00,1
02:44:03,0,44,21.50,37.00,1
02:44:04,0,40,21.50,37.00,1
02:44:05,0,44,21.50,37.00,1
02:44:06,0,40,21.50,37.00,1
02:44:07,0,45,21.50,37.00,1
02:44:09,0,40,21.50,37.00,1
02:44:10,0,44,21.50,37.00,1
02:44:11,0,40,21.50,37.00,1
02:44:12,0,44,21.50,37.00,1
02:44:13,0,41,21.50,37.00,1
02:44:14,0,44,21.50,37.00,1
02:44:15,0,40,21.50,37.00,1
